set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.85,0.894736842105,0.9,0.782608695652,0.9,1.0,0.883333333333
Run2,0.475,0.703703703704,0.825,0.611111111111,0.975,1.0,0.758333333333
Run3,0.875,0.945945945946,0.95,0.863636363636,0.975,1.0,0.933333333333
Run4,0.725,0.90625,0.95,0.690909090909,0.775,0.939393939394,0.816666666667
Run5,0.85,1.0,0.975,0.847826086957,0.975,0.975,0.933333333333
Run6,0.925,0.948717948718,0.95,0.926829268293,1.0,1.0,0.958333333333
Run7,0.725,0.828571428571,0.85,0.755555555556,1.0,1.0,0.858333333333
Run8,0.85,0.85,0.825,0.846153846154,0.975,0.951219512195,0.883333333333
Run9,0.742857142857,0.8125,0.828571428571,0.74358974359,0.971428571429,1.0,0.847619047619
Run10,0.825,0.891891891892,0.925,0.770833333333,0.875,1.0,0.875
Run11,0.925,0.925,0.9,0.923076923077,1.0,0.975609756098,0.941666666667
Run12,0.9,1.0,1.0,0.851063829787,0.925,1.0,0.941666666667
Run13,0.675,0.870967741935,0.9,0.705882352941,0.95,1.0,0.841666666667
Run14,0.914285714286,1.0,1.0,0.921052631579,1.0,1.0,0.971428571429
Run15,0.9,0.972972972973,0.975,0.847826086957,0.925,1.0,0.933333333333
Run16,0.825,0.916666666667,0.925,0.840909090909,1.0,1.0,0.916666666667
Run17,0.925,0.860465116279,0.8,0.864864864865,0.95,0.95,0.891666666667
Run18,0.95,0.844444444444,0.75,0.9375,1.0,0.93023255814,0.9
Run19,0.657142857143,0.958333333333,0.971428571429,0.739130434783,1.0,1.0,0.87619047619
Run20,0.725,0.783783783784,0.8,0.744186046512,1.0,1.0,0.841666666667
Run21,0.825,0.942857142857,0.95,0.844444444444,1.0,1.0,0.925
Run22,0.942857142857,0.970588235294,0.971428571429,0.944444444444,1.0,1.0,0.971428571429
Run23,0.875,0.897435897436,0.9,0.837209302326,0.95,1.0,0.908333333333
Run24,0.875,0.897435897436,0.9,0.837209302326,0.95,1.0,0.908333333333
Run25,0.625,0.961538461538,0.975,0.722222222222,1.0,1.0,0.866666666667
