set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.96875,1.0,1.0,0.914285714286,0.9375,1.0,0.96875
Run2,0.8125,0.838709677419,0.84375,0.818181818182,1.0,1.0,0.885416666667
Run3,0.96875,1.0,1.0,0.969696969697,1.0,1.0,0.989583333333
Run4,0.90625,0.90625,0.9375,0.857142857143,0.90625,1.0,0.916666666667
Run5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Run6,0.90625,0.966666666667,0.96875,0.911764705882,1.0,1.0,0.958333333333
Run7,0.96875,0.861111111111,0.875,0.965517241379,0.96875,1.0,0.9375
Run8,1.0,0.864864864865,0.84375,1.0,1.0,1.0,0.947916666667
Run9,0.962962962963,0.896551724138,0.888888888889,0.923076923077,0.962962962963,1.0,0.938271604938
Run10,0.9375,0.789473684211,0.75,0.923076923077,1.0,1.0,0.895833333333
Run11,0.9375,1.0,1.0,0.941176470588,1.0,1.0,0.979166666667
Run12,1.0,0.941176470588,0.9375,1.0,1.0,1.0,0.979166666667
Run13,0.875,0.875,0.875,0.875,1.0,1.0,0.916666666667
Run14,1.0,0.794117647059,0.740740740741,1.0,1.0,1.0,0.913580246914
Run15,1.0,0.969696969697,0.96875,1.0,1.0,1.0,0.989583333333
Run16,0.9375,1.0,1.0,0.888888888889,0.9375,1.0,0.958333333333
Run17,0.90625,0.878787878788,0.84375,0.9,1.0,0.969696969697,0.916666666667
Run18,0.9375,0.909090909091,0.875,0.903225806452,0.96875,0.96875,0.927083333333
Run19,0.925925925926,0.925925925926,0.925925925926,0.925925925926,1.0,1.0,0.950617283951
Run20,0.90625,0.935483870968,0.9375,0.909090909091,1.0,1.0,0.947916666667
Run21,1.0,0.969696969697,0.96875,1.0,1.0,1.0,0.989583333333
Run22,0.962962962963,0.866666666667,0.851851851852,0.958333333333,1.0,1.0,0.938271604938
Run23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Run24,0.9375,0.9375,0.9375,0.909090909091,0.96875,1.0,0.947916666667
Run25,1.0,0.864864864865,0.84375,0.964285714286,0.96875,1.0,0.9375
