set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.85,0.772727272727,0.825,0.733333333333,0.775,1.0,0.816666666667
Run2,0.8,0.914285714286,0.925,0.698113207547,0.75,0.9375,0.825
Run3,0.95,0.95,1.0,0.93023255814,0.925,1.0,0.958333333333
Run4,0.75,0.882352941176,0.925,0.672727272727,0.775,1.0,0.816666666667
Run5,0.925,0.925,0.925,0.925,1.0,1.0,0.95
Run6,0.9,0.972972972973,0.975,0.906976744186,1.0,1.0,0.958333333333
Run7,0.85,0.829268292683,0.8,0.780487804878,0.925,0.973684210526,0.858333333333
Run8,0.925,0.860465116279,0.875,0.875,0.9,0.972972972973,0.9
Run9,0.885714285714,0.837837837838,0.828571428571,0.805555555556,0.914285714286,1.0,0.87619047619
Run10,0.825,0.80487804878,0.825,0.825,0.975,1.0,0.875
Run11,0.85,0.918918918919,0.925,0.711538461538,0.775,1.0,0.85
Run12,0.925,0.822222222222,0.825,0.785714285714,0.825,1.0,0.858333333333
Run13,0.725,0.763157894737,0.775,0.704545454545,0.95,1.0,0.816666666667
Run14,0.942857142857,0.80487804878,0.8,0.903225806452,0.942857142857,1.0,0.895238095238
Run15,0.95,0.844444444444,0.875,0.833333333333,0.825,1.0,0.883333333333
Run16,0.825,0.916666666667,0.975,0.764705882353,0.825,1.0,0.875
Run17,0.675,0.84375,0.875,0.614035087719,0.775,1.0,0.775
Run18,0.675,0.84375,0.875,0.714285714286,0.975,1.0,0.841666666667
Run19,0.942857142857,0.825,0.8,0.933333333333,0.971428571429,0.971428571429,0.904761904762
Run20,0.95,0.826086956522,0.8,0.888888888889,0.95,1.0,0.9
Run21,1.0,0.888888888889,0.875,0.945945945946,0.95,1.0,0.941666666667
Run22,0.685714285714,1.0,1.0,0.729166666667,0.942857142857,1.0,0.87619047619
Run23,0.95,0.904761904762,0.9,0.947368421053,1.0,1.0,0.95
Run24,0.975,0.764705882353,0.675,0.84375,0.9,0.972972972973,0.85
Run25,0.925,0.804347826087,0.8,0.864864864865,0.925,1.0,0.883333333333
