set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.933333333333,1.0,1.0,0.8,1.0,1.0,0.954545454545
Run2,1.0,0.928571428571,0.857142857143,1.0,1.0,1.0,0.95652173913
Run3,0.857142857143,1.0,1.0,0.75,1.0,1.0,0.913043478261
Run4,0.733333333333,1.0,1.0,0.636363636364,1.0,1.0,0.84
Run5,0.866666666667,1.0,1.0,0.727272727273,0.8,1.0,0.892857142857
Run6,0.928571428571,1.0,1.0,0.833333333333,1.0,1.0,0.95
Run7,0.733333333333,0.916666666667,0.833333333333,0.555555555556,1.0,1.0,0.772727272727
Run8,0.916666666667,1.0,1.0,0.75,,,0.933333333333
Run9,0.928571428571,1.0,1.0,0.857142857143,1.0,1.0,0.954545454545
Run10,0.916666666667,1.0,1.0,0.857142857143,1.0,1.0,0.95
Run11,1.0,1.0,1.0,1.0,,,1.0
Run12,0.923076923077,1.0,1.0,0.857142857143,1.0,1.0,0.952380952381
Run13,0.857142857143,0.923076923077,0.8,0.666666666667,1.0,1.0,0.857142857143
Run14,0.785714285714,0.916666666667,0.875,0.7,1.0,1.0,0.84
Run15,0.928571428571,1.0,1.0,0.888888888889,1.0,1.0,0.958333333333
Run16,0.928571428571,1.0,1.0,0.875,,,0.952380952381
Run17,0.833333333333,1.0,1.0,0.8,1.0,1.0,0.904761904762
Run18,0.866666666667,1.0,1.0,0.75,1.0,1.0,0.909090909091
Run19,0.933333333333,0.933333333333,0.857142857143,0.75,0.5,1.0,0.875
Run20,1.0,0.928571428571,0.833333333333,1.0,1.0,1.0,0.95
Run21,1.0,1.0,1.0,1.0,,,1.0
Run22,0.933333333333,1.0,1.0,0.875,1.0,1.0,0.962962962963
Run23,1.0,0.923076923077,0.8,1.0,,,0.941176470588
Run24,1.0,1.0,1.0,1.0,,,1.0
Run25,0.928571428571,1.0,1.0,0.8,1.0,1.0,0.947368421053
