set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.8125,0.722222222222,0.75,0.692307692308,0.842105263158,1.0,0.808510638298
Run2,0.8125,0.684210526316,0.583333333333,0.636363636364,0.894736842105,1.0,0.787234042553
Run3,0.75,1.0,0.923076923077,0.75,1.0,0.947368421053,0.893617021277
Run4,0.9375,0.9375,0.909090909091,0.588235294118,0.7,1.0,0.829787234043
Run5,1.0,0.666666666667,0.25,1.0,1.0,0.944444444444,0.8
Run6,0.875,1.0,1.0,0.857142857143,1.0,1.0,0.958333333333
Run7,0.6875,0.785714285714,0.727272727273,0.533333333333,0.894736842105,1.0,0.782608695652
Run8,1.0,0.615384615385,0.333333333333,1.0,0.894736842105,1.0,0.787234042553
Run9,0.75,0.705882352941,0.583333333333,0.636363636364,1.0,1.0,0.808510638298
Run10,1.0,0.727272727273,0.5,0.75,0.888888888889,1.0,0.826086956522
Run11,0.875,0.823529411765,0.75,0.818181818182,1.0,1.0,0.895833333333
Run12,1.0,0.727272727273,0.538461538462,1.0,0.947368421053,0.947368421053,0.854166666667
Run13,1.0,0.842105263158,0.75,0.9,0.933333333333,1.0,0.906976744186
Run14,0.875,0.608695652174,0.333333333333,0.666666666667,0.947368421053,1.0,0.765957446809
Run15,0.9375,0.714285714286,0.636363636364,0.636363636364,0.736842105263,1.0,0.782608695652
Run16,1.0,0.941176470588,1.0,0.666666666667,0.65,1.0,0.854166666667
Run17,0.9375,0.75,0.545454545455,0.857142857143,1.0,1.0,0.872340425532
Run18,1.0,0.727272727273,0.454545454545,1.0,1.0,1.0,0.869565217391
Run19,1.0,0.8,0.916666666667,0.916666666667,0.8,1.0,0.895833333333
Run20,1.0,0.761904761905,0.583333333333,1.0,1.0,1.0,0.893617021277
Run21,1.0,0.8,0.833333333333,0.909090909091,0.85,1.0,0.895833333333
Run22,0.9375,0.75,0.461538461538,0.666666666667,0.894736842105,0.894736842105,0.791666666667
Run23,0.75,0.857142857143,0.833333333333,0.714285714286,1.0,1.0,0.875
Run24,0.75,0.857142857143,0.833333333333,0.666666666667,0.947368421053,1.0,0.851063829787
Run25,1.0,0.727272727273,0.5,0.857142857143,0.944444444444,1.0,0.847826086957
