set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.825,0.916666666667,0.925,0.787234042553,0.925,1.0,0.891666666667
Run2,0.875,0.7,0.675,0.72972972973,0.825,1.0,0.791666666667
Run3,0.675,1.0,1.0,0.754716981132,1.0,1.0,0.891666666667
Run4,0.7,0.777777777778,0.85,0.641509433962,0.775,1.0,0.775
Run5,0.725,0.557692307692,0.375,0.576923076923,1.0,0.952380952381,0.7
Run6,0.85,0.871794871795,0.875,0.853658536585,1.0,1.0,0.908333333333
Run7,0.825,0.717391304348,0.8,0.744186046512,0.775,1.0,0.8
Run8,1.0,0.655737704918,0.525,0.84,0.85,1.0,0.791666666667
Run9,0.971428571429,0.739130434783,0.628571428571,0.916666666667,0.971428571429,0.971428571429,0.857142857143
Run10,0.975,0.735849056604,0.6,0.923076923077,0.975,0.951219512195,0.85
Run11,0.8,0.969696969697,0.975,0.8125,0.95,0.974358974359,0.908333333333
Run12,1.0,0.727272727273,0.625,0.961538461538,0.975,1.0,0.866666666667
Run13,0.8,0.744186046512,0.875,0.795454545455,0.825,1.0,0.833333333333
Run14,0.828571428571,0.547169811321,0.342857142857,0.666666666667,0.971428571429,1.0,0.714285714286
Run15,0.9,0.878048780488,0.925,0.755102040816,0.75,1.0,0.858333333333
Run16,0.875,0.833333333333,0.975,0.684210526316,0.525,1.0,0.791666666667
Run17,0.825,0.825,0.8,0.820512820513,0.975,0.951219512195,0.866666666667
Run18,0.825,0.785714285714,0.7,0.736842105263,0.925,0.925,0.816666666667
Run19,0.742857142857,0.866666666667,0.914285714286,0.780487804878,0.971428571429,1.0,0.87619047619
Run20,1.0,0.754716981132,0.675,0.964285714286,0.95,0.974358974359,0.875
Run21,1.0,0.78431372549,0.775,0.96875,0.925,1.0,0.9
Run22,0.942857142857,0.846153846154,0.828571428571,0.966666666667,1.0,0.972222222222,0.92380952381
Run23,0.875,0.777777777778,0.75,0.857142857143,1.0,1.0,0.875
Run24,0.725,0.878787878788,0.9,0.734693877551,0.95,1.0,0.858333333333
Run25,0.95,0.716981132075,0.625,0.862068965517,0.95,1.0,0.841666666667
