set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.782608695652,0.9,0.75,0.6,0.8,0.8,0.777777777778
Run2,0.857142857143,0.818181818182,0.666666666667,0.769230769231,1.0,0.9,0.822222222222
Run3,0.727272727273,1.0,1.0,0.7,1.0,1.0,0.866666666667
Run4,0.913043478261,0.954545454545,0.8,0.8,0.9,0.818181818182,0.875
Run5,0.782608695652,0.72,0.5625,0.6,0.923076923077,1.0,0.75
Run6,0.909090909091,0.869565217391,0.692307692308,0.818181818182,1.0,0.888888888889,0.860465116279
Run7,0.869565217391,0.833333333333,0.785714285714,0.733333333333,0.714285714286,1.0,0.818181818182
Run8,0.95,0.730769230769,0.454545454545,0.833333333333,0.8,1.0,0.777777777778
Run9,0.954545454545,0.84,0.714285714286,0.909090909091,1.0,1.0,0.886363636364
Run10,1.0,0.833333333333,0.714285714286,1.0,1.0,1.0,0.90243902439
Run11,0.9,0.947368421053,0.923076923077,0.8,0.8,1.0,0.894736842105
Run12,1.0,0.807692307692,0.642857142857,1.0,1.0,1.0,0.878048780488
Run13,0.909090909091,0.909090909091,0.769230769231,0.833333333333,1.0,0.857142857143,0.878048780488
Run14,0.863636363636,0.703703703704,0.5,0.666666666667,0.75,0.857142857143,0.717391304348
Run15,0.954545454545,0.954545454545,0.9375,0.882352941176,0.875,1.0,0.934782608696
Run16,0.909090909091,0.952380952381,0.933333333333,0.823529411765,0.333333333333,0.5,0.875
Run17,0.75,0.714285714286,0.5625,0.6,0.833333333333,0.833333333333,0.690476190476
Run18,0.95652173913,0.88,0.785714285714,0.916666666667,1.0,1.0,0.911111111111
Run19,0.869565217391,0.909090909091,0.8,0.666666666667,0.5,0.666666666667,0.782608695652
Run20,0.904761904762,0.863636363636,0.785714285714,0.846153846154,1.0,1.0,0.871794871795
Run21,0.904761904762,0.863636363636,0.785714285714,0.846153846154,0.75,0.75,0.846153846154
Run22,0.95652173913,0.88,0.8,0.857142857143,0.923076923077,1.0,0.901960784314
Run23,0.9,0.9,0.846153846154,0.846153846154,1.0,1.0,0.888888888889
Run24,0.666666666667,0.823529411765,0.727272727273,0.533333333333,1.0,1.0,0.72972972973
Run25,0.954545454545,0.777777777778,0.5,0.75,0.888888888889,1.0,0.813953488372
