set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.9375,0.789473684211,0.666666666667,0.615384615385,0.736842105263,0.933333333333,0.787234042553
Run2,0.6875,0.733333333333,0.75,0.5625,0.842105263158,1.0,0.765957446809
Run3,0.9375,0.833333333333,0.692307692308,0.9,1.0,0.947368421053,0.893617021277
Run4,1.0,0.842105263158,0.727272727273,0.571428571429,0.7,1.0,0.808510638298
Run5,0.9375,0.882352941176,0.833333333333,1.0,0.941176470588,0.888888888889,0.911111111111
Run6,1.0,0.8,0.75,0.818181818182,0.85,1.0,0.875
Run7,0.8125,0.8125,0.727272727273,0.727272727273,1.0,1.0,0.869565217391
Run8,0.875,0.7,0.416666666667,0.555555555556,0.894736842105,0.944444444444,0.765957446809
Run9,1.0,0.8,0.666666666667,0.727272727273,0.842105263158,1.0,0.851063829787
Run10,0.9375,0.75,0.583333333333,1.0,1.0,0.947368421053,0.869565217391
Run11,0.9375,0.882352941176,0.833333333333,0.769230769231,0.85,0.944444444444,0.875
Run12,0.875,0.7,0.538461538462,0.7,0.894736842105,0.944444444444,0.791666666667
Run13,0.875,0.666666666667,0.5,0.666666666667,0.866666666667,1.0,0.767441860465
Run14,1.0,0.695652173913,0.5,1.0,0.947368421053,1.0,0.851063829787
Run15,1.0,0.8,0.636363636364,1.0,1.0,1.0,0.913043478261
Run16,0.75,0.923076923077,1.0,0.545454545455,0.65,1.0,0.770833333333
Run17,0.8125,0.8125,0.727272727273,0.615384615385,0.9,1.0,0.829787234043
Run18,0.5625,0.642857142857,0.545454545455,0.461538461538,1.0,1.0,0.739130434783
Run19,0.875,0.666666666667,0.583333333333,0.538461538462,0.65,0.928571428571,0.708333333333
Run20,0.9375,0.625,0.25,0.75,1.0,1.0,0.787234042553
Run21,1.0,0.8,0.583333333333,0.875,0.95,0.95,0.875
Run22,0.8125,0.928571428571,0.846153846154,0.647058823529,0.842105263158,0.941176470588,0.833333333333
Run23,1.0,0.666666666667,0.333333333333,0.8,0.95,1.0,0.8125
Run24,0.875,0.777777777778,0.666666666667,0.533333333333,0.736842105263,1.0,0.765957446809
Run25,0.9375,0.681818181818,0.5,0.666666666667,0.833333333333,1.0,0.782608695652
