set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.9,0.705882352941,0.675,0.710526315789,0.775,1.0,0.783333333333
Run2,0.7,0.777777777778,0.825,0.589285714286,0.65,0.928571428571,0.725
Run3,0.825,0.916666666667,1.0,0.851063829787,0.925,1.0,0.916666666667
Run4,0.8,0.8,0.775,0.632653061224,0.75,0.967741935484,0.775
Run5,0.85,0.971428571429,0.975,0.866666666667,1.0,1.0,0.941666666667
Run6,0.85,0.829268292683,0.8,0.8,0.95,0.974358974359,0.866666666667
Run7,0.75,0.833333333333,0.85,0.68,0.85,1.0,0.816666666667
Run8,0.875,0.648148148148,0.6,0.666666666667,0.725,0.966666666667,0.733333333333
Run9,0.914285714286,0.65306122449,0.514285714286,0.642857142857,0.742857142857,0.928571428571,0.72380952381
Run10,0.875,0.777777777778,0.775,0.837837837838,0.95,1.0,0.866666666667
Run11,0.85,0.829268292683,0.825,0.825,0.925,0.948717948718,0.866666666667
Run12,0.875,0.813953488372,0.9,0.837209302326,0.85,1.0,0.875
Run13,0.625,0.641025641026,0.675,0.613636363636,0.925,1.0,0.741666666667
Run14,0.885714285714,0.861111111111,0.885714285714,0.885714285714,0.971428571429,1.0,0.914285714286
Run15,0.95,0.730769230769,0.725,0.852941176471,0.85,1.0,0.841666666667
Run16,0.625,0.892857142857,1.0,0.677966101695,0.825,1.0,0.816666666667
Run17,0.675,0.870967741935,0.875,0.636363636364,0.825,0.970588235294,0.791666666667
Run18,0.4,0.666666666667,0.8,0.571428571429,1.0,1.0,0.733333333333
Run19,0.971428571429,0.68,0.6,0.913043478261,0.914285714286,1.0,0.828571428571
Run20,0.975,0.582089552239,0.3,0.75,0.925,1.0,0.733333333333
Run21,0.975,0.886363636364,0.85,0.809523809524,0.825,0.970588235294,0.883333333333
Run22,0.742857142857,1.0,1.0,0.744680851064,0.885714285714,0.96875,0.87619047619
Run23,0.9,0.72,0.675,0.870967741935,0.975,1.0,0.85
Run24,0.925,0.711538461538,0.6,0.685714285714,0.8,0.969696969697,0.775
Run25,0.9,0.610169491525,0.625,0.78125,0.7,0.965517241379,0.741666666667
