set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.6875,1.0,0.75,0.692307692308,0.894736842105,0.739130434783,0.787234042553
Run2,0.8125,0.866666666667,0.833333333333,0.769230769231,1.0,1.0,0.895833333333
Run3,0.75,0.8,0.727272727273,0.533333333333,0.85,1.0,0.787234042553
Run4,0.8125,1.0,0.923076923077,0.923076923077,1.0,0.857142857143,0.914893617021
Run5,0.9375,0.833333333333,0.636363636364,0.875,1.0,0.947368421053,0.888888888889
Run6,0.5,0.888888888889,0.75,0.6,1.0,0.826086956522,0.765957446809
Run7,0.9375,1.0,1.0,0.666666666667,0.75,1.0,0.875
Run8,1.0,0.888888888889,0.727272727273,0.727272727273,0.842105263158,0.941176470588,0.869565217391
Run9,0.9375,0.9375,0.916666666667,0.846153846154,0.95,1.0,0.9375
Run10,0.875,0.736842105263,0.666666666667,0.8,0.944444444444,1.0,0.847826086957
Run11,1.0,0.941176470588,0.846153846154,1.0,0.947368421053,0.9,0.9375
Run12,1.0,0.888888888889,0.5,1.0,1.0,0.833333333333,0.875
Run13,0.9375,0.9375,0.666666666667,1.0,1.0,0.826086956522,0.893617021277
Run14,1.0,1.0,0.916666666667,0.916666666667,0.933333333333,0.933333333333,0.953488372093
Run15,1.0,0.941176470588,0.818181818182,1.0,1.0,0.952380952381,0.957446808511
Run16,0.6875,1.0,0.923076923077,0.666666666667,0.947368421053,0.947368421053,0.854166666667
Run17,1.0,0.888888888889,0.583333333333,0.636363636364,0.714285714286,0.769230769231,0.785714285714
Run18,0.875,0.875,1.0,0.857142857143,0.866666666667,1.0,0.906976744186
Run19,0.75,1.0,0.916666666667,0.611111111111,0.842105263158,0.941176470588,0.829787234043
Run20,0.9375,0.789473684211,0.416666666667,0.833333333333,0.947368421053,0.818181818182,0.808510638298
Run21,0.9375,0.833333333333,0.545454545455,0.75,0.894736842105,0.85,0.826086956522
Run22,0.8125,0.866666666667,0.5,0.75,1.0,0.8,0.8125
Run23,1.0,1.0,0.75,0.9,0.933333333333,0.823529411765,0.906976744186
Run24,0.875,1.0,0.916666666667,0.733333333333,0.9,0.947368421053,0.895833333333
Run25,0.875,0.777777777778,0.666666666667,0.615384615385,0.75,0.882352941176,0.770833333333
