set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.857142857143,0.9375,0.828571428571,0.935483870968,0.971428571429,0.809523809524,0.885714285714
Run2,0.925,0.860465116279,0.725,0.878787878788,0.975,0.886363636364,0.875
Run3,0.725,0.966666666667,0.7,0.736842105263,0.975,0.75,0.8
Run4,0.857142857143,0.909090909091,0.685714285714,0.648648648649,0.742857142857,0.742857142857,0.761904761905
Run5,0.875,0.744680851064,0.35,1.0,1.0,0.677966101695,0.741666666667
Run6,0.685714285714,1.0,0.885714285714,0.794871794872,1.0,0.833333333333,0.857142857143
Run7,0.875,0.813953488372,0.775,0.815789473684,0.95,0.974358974359,0.866666666667
Run8,0.525,0.875,0.6,0.615384615385,1.0,0.701754385965,0.708333333333
Run9,0.825,0.970588235294,0.95,0.826086956522,0.975,0.975,0.916666666667
Run10,0.7,0.777777777778,0.575,0.69696969697,1.0,0.78431372549,0.758333333333
Run11,0.825,0.970588235294,0.95,0.703703703704,0.775,0.96875,0.85
Run12,0.925,0.840909090909,0.475,0.863636363636,1.0,0.740740740741,0.8
Run13,0.825,0.868421052632,0.55,0.758620689655,1.0,0.754716981132,0.791666666667
Run14,0.675,0.84375,0.55,0.6875,0.85,0.607142857143,0.691666666667
Run15,0.825,0.702127659574,0.475,0.863636363636,0.975,0.764705882353,0.758333333333
Run16,0.875,0.897435897436,0.875,0.875,1.0,0.975609756098,0.916666666667
Run17,0.875,0.795454545455,0.725,0.725,0.85,0.944444444444,0.816666666667
Run18,0.9,0.837209302326,0.775,0.861111111111,0.95,0.926829268293,0.875
Run19,0.925,0.90243902439,0.775,1.0,1.0,0.833333333333,0.9
Run20,0.7,0.903225806452,0.575,0.589743589744,0.85,0.68,0.708333333333
Run21,0.7,0.666666666667,0.35,0.875,0.975,0.629032258065,0.675
Run22,0.885714285714,0.756097560976,0.657142857143,0.851851851852,1.0,0.945945945946,0.847619047619
Run23,0.825,0.970588235294,0.975,0.8125,0.95,1.0,0.916666666667
Run24,0.8,0.888888888889,0.875,0.813953488372,1.0,0.975609756098,0.891666666667
Run25,0.875,0.972222222222,0.85,0.944444444444,1.0,0.833333333333,0.908333333333
