set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.863636363636,0.863636363636,0.866666666667,0.8125,0.888888888889,1.0,0.869565217391
Run2,0.909090909091,0.869565217391,0.769230769231,0.833333333333,1.0,1.0,0.871794871795
Run3,0.65,1.0,0.933333333333,0.777777777778,1.0,0.555555555556,0.8
Run4,0.818181818182,0.818181818182,0.294117647059,0.555555555556,0.75,0.45,0.627450980392
Run5,0.826086956522,0.95,0.5,0.777777777778,1.0,0.5,0.755555555556
Run6,0.739130434783,0.944444444444,0.533333333333,0.8,1.0,0.52380952381,0.734693877551
Run7,0.818181818182,0.9,0.818181818182,0.6,0.714285714286,1.0,0.8
Run8,0.739130434783,1.0,0.5,0.636363636364,1.0,0.357142857143,0.690476190476
Run9,0.954545454545,0.84,0.714285714286,0.909090909091,1.0,1.0,0.888888888889
Run10,0.8,0.833333333333,0.583333333333,0.583333333333,1.0,0.9,0.782608695652
Run11,0.772727272727,1.0,1.0,0.777777777778,1.0,0.928571428571,0.897959183673
Run12,0.954545454545,0.913043478261,0.533333333333,0.888888888889,0.857142857143,0.5,0.795454545455
Run13,0.952380952381,0.952380952381,0.666666666667,0.909090909091,0.75,0.375,0.825
Run14,0.772727272727,0.944444444444,0.416666666667,0.714285714286,1.0,0.357142857143,0.692307692308
Run15,0.739130434783,0.809523809524,0.466666666667,0.7,1.0,0.5,0.688888888889
Run16,0.761904761905,0.888888888889,0.769230769231,0.625,0.888888888889,0.888888888889,0.790697674419
Run17,0.95,0.95,0.818181818182,0.9,1.0,0.666666666667,0.909090909091
Run18,0.782608695652,0.818181818182,0.363636363636,0.571428571429,1.0,0.545454545455,0.7
Run19,0.947368421053,0.947368421053,0.692307692308,1.0,1.0,0.5,0.861111111111
Run20,0.772727272727,0.944444444444,0.714285714286,0.769230769231,0.8,0.4,0.756097560976
Run21,0.818181818182,0.818181818182,0.230769230769,0.6,0.875,0.4375,0.651162790698
Run22,0.8,0.888888888889,0.857142857143,0.8,0.857142857143,0.75,0.829268292683
Run23,0.904761904762,0.95,0.583333333333,0.777777777778,1.0,0.333333333333,0.8
Run24,0.791666666667,0.95,0.666666666667,0.666666666667,1.0,0.6,0.785714285714
Run25,0.857142857143,1.0,1.0,0.875,0.666666666667,0.5,0.894736842105
