set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.875,1.0,1.0,0.8,1.0,1.0,0.95652173913
Run2,0.75,0.857142857143,1.0,0.666666666667,0.909090909091,1.0,0.869565217391
Run3,0.875,1.0,1.0,0.833333333333,1.0,1.0,0.95652173913
Run4,0.875,1.0,1.0,0.75,1.0,1.0,0.95652173913
Run5,1.0,1.0,1.0,0.8,0.888888888889,1.0,0.952380952381
Run6,1.0,0.888888888889,0.75,0.6,0.833333333333,1.0,0.875
Run7,0.5,0.666666666667,0.333333333333,0.2,1.0,1.0,0.727272727273
Run8,1.0,1.0,1.0,0.8,0.909090909091,1.0,0.95652173913
Run9,0.875,0.875,0.75,0.75,1.0,1.0,0.913043478261
Run10,0.75,0.75,0.75,0.6,0.9,1.0,0.818181818182
Run11,1.0,0.888888888889,0.75,1.0,1.0,1.0,0.958333333333
Run12,0.625,0.833333333333,0.6,0.5,1.0,0.916666666667,0.791666666667
Run13,0.875,1.0,1.0,0.8,1.0,1.0,0.952380952381
Run14,0.875,0.875,0.75,0.75,1.0,1.0,0.913043478261
Run15,0.875,1.0,1.0,0.6,0.909090909091,1.0,0.909090909091
Run16,1.0,0.888888888889,0.75,0.75,0.916666666667,1.0,0.916666666667
Run17,0.875,0.875,1.0,0.6,0.833333333333,1.0,0.869565217391
Run18,0.875,1.0,1.0,0.75,1.0,1.0,0.954545454545
Run19,0.75,1.0,1.0,0.571428571429,0.916666666667,1.0,0.875
Run20,0.875,0.777777777778,0.5,0.5,0.909090909091,1.0,0.826086956522
Run21,1.0,0.888888888889,0.75,1.0,1.0,1.0,0.958333333333
Run22,1.0,1.0,0.8,0.666666666667,0.818181818182,0.9,0.875
Run23,1.0,0.8,0.5,1.0,0.916666666667,0.916666666667,0.875
Run24,0.875,0.875,0.75,0.6,0.909090909091,1.0,0.869565217391
Run25,0.875,1.0,1.0,0.8,1.0,1.0,0.954545454545
