set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.875,0.736842105263,0.583333333333,0.7,0.842105263158,0.888888888889,0.787234042553
Run2,1.0,0.761904761905,0.583333333333,0.777777777778,0.894736842105,1.0,0.851063829787
Run3,1.0,0.761904761905,0.538461538462,1.0,1.0,0.947368421053,0.872340425532
Run4,1.0,0.761904761905,0.454545454545,1.0,1.0,0.952380952381,0.872340425532
Run5,0.9375,0.833333333333,0.666666666667,0.8,0.941176470588,0.941176470588,0.866666666667
Run6,0.75,0.8,0.75,0.6,0.9,1.0,0.8125
Run7,0.625,0.833333333333,0.818181818182,0.6,1.0,1.0,0.826086956522
Run8,0.75,0.923076923077,0.916666666667,0.733333333333,1.0,1.0,0.893617021277
Run9,0.8125,0.866666666667,0.833333333333,0.714285714286,0.947368421053,1.0,0.872340425532
Run10,0.9375,0.681818181818,0.416666666667,1.0,1.0,0.947368421053,0.826086956522
Run11,0.9375,0.882352941176,0.916666666667,0.846153846154,0.9,1.0,0.916666666667
Run12,0.875,0.875,0.769230769231,0.769230769231,0.947368421053,0.947368421053,0.875
Run13,0.9375,0.789473684211,0.75,0.818181818182,0.866666666667,1.0,0.860465116279
Run14,0.875,0.875,0.833333333333,0.769230769231,0.894736842105,0.944444444444,0.872340425532
Run15,0.9375,1.0,1.0,0.846153846154,0.947368421053,1.0,0.95652173913
Run16,0.9375,0.882352941176,0.75,0.75,0.9,0.947368421053,0.875
Run17,0.9375,0.882352941176,0.818181818182,0.818181818182,0.95,1.0,0.914893617021
Run18,0.75,0.666666666667,0.545454545455,0.6,0.947368421053,1.0,0.782608695652
Run19,0.875,0.777777777778,0.75,0.692307692308,0.85,1.0,0.833333333333
Run20,0.875,0.875,0.833333333333,0.833333333333,1.0,1.0,0.914893617021
Run21,0.875,0.736842105263,0.583333333333,0.7,0.95,1.0,0.833333333333
Run22,1.0,0.888888888889,0.769230769231,1.0,1.0,0.95,0.9375
Run23,0.75,0.705882352941,0.75,0.692307692308,0.9,1.0,0.8125
Run24,0.6875,0.785714285714,0.833333333333,0.526315789474,0.736842105263,1.0,0.744680851064
Run25,0.75,0.857142857143,0.916666666667,0.6875,0.888888888889,1.0,0.847826086957
