set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.739130434783,0.85,0.666666666667,0.571428571429,1.0,0.909090909091,0.777777777778
Run2,0.952380952381,0.740740740741,0.466666666667,0.777777777778,0.888888888889,0.888888888889,0.777777777778
Run3,0.954545454545,0.807692307692,0.642857142857,0.9,1.0,1.0,0.866666666667
Run4,0.739130434783,0.772727272727,0.6,0.5625,0.9,0.9,0.729166666667
Run5,0.95652173913,0.785714285714,0.625,0.833333333333,0.923076923077,1.0,0.846153846154
Run6,0.681818181818,0.882352941176,0.769230769231,0.555555555556,0.875,0.875,0.744186046512
Run7,0.739130434783,0.85,0.785714285714,0.647058823529,1.0,1.0,0.795454545455
Run8,0.85,1.0,1.0,0.733333333333,0.8,1.0,0.888888888889
Run9,0.772727272727,0.85,0.785714285714,0.611111111111,0.75,1.0,0.772727272727
Run10,0.85,0.809523809524,0.714285714286,0.714285714286,0.857142857143,1.0,0.80487804878
Run11,1.0,0.952380952381,0.923076923077,0.923076923077,0.8,1.0,0.947368421053
Run12,1.0,0.954545454545,0.928571428571,1.0,1.0,1.0,0.975609756098
Run13,0.954545454545,0.807692307692,0.615384615385,0.888888888889,1.0,1.0,0.853658536585
Run14,0.863636363636,0.95,0.9375,0.75,0.625,0.833333333333,0.847826086957
Run15,0.909090909091,0.909090909091,0.875,0.875,1.0,1.0,0.913043478261
Run16,0.772727272727,0.85,0.866666666667,0.722222222222,0.666666666667,1.0,0.8
Run17,0.95,0.826086956522,0.75,0.75,0.5,1.0,0.809523809524
Run18,0.739130434783,0.894736842105,0.928571428571,0.65,0.75,1.0,0.8
Run19,0.826086956522,0.904761904762,0.8,0.666666666667,0.75,0.857142857143,0.804347826087
Run20,0.857142857143,0.9,0.857142857143,0.8,1.0,1.0,0.871794871795
Run21,1.0,0.954545454545,0.785714285714,1.0,0.75,0.5,0.897435897436
Run22,0.782608695652,0.9,0.866666666667,0.65,0.846153846154,1.0,0.823529411765
Run23,0.85,0.894736842105,0.846153846154,0.785714285714,1.0,1.0,0.861111111111
Run24,0.809523809524,0.944444444444,0.909090909091,0.666666666667,0.8,1.0,0.837837837838
Run25,0.863636363636,0.95,1.0,0.8,0.888888888889,1.0,0.906976744186
