set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,1.0,0.8,0.75,0.75,0.789473684211,1.0,0.851063829787
Run2,0.8125,0.928571428571,1.0,0.666666666667,0.789473684211,1.0,0.851063829787
Run3,0.9375,0.882352941176,0.769230769231,0.909090909091,1.0,0.947368421053,0.914893617021
Run4,0.6875,0.647058823529,0.818181818182,0.5625,0.7,1.0,0.723404255319
Run5,0.875,0.823529411765,0.666666666667,0.8,1.0,0.944444444444,0.866666666667
Run6,0.8125,1.0,0.833333333333,0.769230769231,1.0,0.909090909091,0.895833333333
Run7,0.625,0.625,0.818181818182,0.529411764706,0.684210526316,1.0,0.695652173913
Run8,0.8125,1.0,1.0,0.571428571429,0.684210526316,1.0,0.808510638298
Run9,0.875,0.823529411765,0.75,0.529411764706,0.684210526316,1.0,0.765957446809
Run10,0.9375,0.681818181818,0.75,0.6,0.5,1.0,0.717391304348
Run11,0.9375,0.9375,0.916666666667,0.647058823529,0.75,1.0,0.854166666667
Run12,1.0,0.761904761905,0.615384615385,0.470588235294,0.473684210526,0.9,0.6875
Run13,1.0,0.695652173913,0.75,0.818181818182,0.6,1.0,0.790697674419
Run14,1.0,0.64,0.75,0.642857142857,0.421052631579,1.0,0.702127659574
Run15,0.9375,0.789473684211,0.818181818182,0.692307692308,0.736842105263,1.0,0.826086956522
Run16,1.0,0.551724137931,0.5,0.428571428571,0.25,1.0,0.5625
Run17,0.75,0.75,0.727272727273,0.444444444444,0.65,1.0,0.702127659574
Run18,0.9375,0.833333333333,0.727272727273,0.888888888889,1.0,1.0,0.913043478261
Run19,0.9375,0.681818181818,0.666666666667,0.666666666667,0.7,1.0,0.770833333333
Run20,0.8125,0.722222222222,0.916666666667,0.55,0.473684210526,1.0,0.702127659574
Run21,1.0,0.727272727273,0.833333333333,0.625,0.5,1.0,0.75
Run22,0.9375,0.833333333333,0.615384615385,0.888888888889,1.0,0.904761904762,0.875
Run23,0.75,0.6,0.75,0.5,0.5,1.0,0.645833333333
Run24,0.875,0.736842105263,0.75,0.6,0.684210526316,1.0,0.765957446809
Run25,0.9375,0.833333333333,0.75,0.818181818182,0.944444444444,1.0,0.891304347826
