Testing Set, Iso Train Results, Copy Train Results, Synth Trian Results
TestSet1iso,0.950617283951,0.914285714286,0.819047619048,
TestSet2iso,0.947916666667,0.816666666667,0.683333333333,
TestSet3iso,0.90625,0.708333333333,0.825,
TestSet4iso,0.962962962963,0.857142857143,0.87619047619,
TestSet5iso,0.90625,0.725,0.666666666667,
TestSet6iso,0.962962962963,0.904761904762,0.895238095238,
TestSet7iso,0.958333333333,0.9,0.9,
TestSet8iso,0.90625,0.691666666667,0.583333333333,
TestSet9iso,0.927083333333,0.866666666667,0.825,
TestSet10iso,0.916666666667,0.841666666667,0.75,
TestSet11iso,0.90625,0.8,0.85,
TestSet12iso,0.958333333333,0.858333333333,0.733333333333,
TestSet13iso,0.854166666667,0.808333333333,0.716666666667,
TestSet14iso,0.9375,0.691666666667,0.641666666667,
TestSet15iso,0.885416666667,0.741666666667,0.733333333333,
TestSet16iso,0.979166666667,0.95,0.908333333333,
TestSet17iso,0.927083333333,0.758333333333,0.566666666667,
TestSet18iso,0.90625,0.758333333333,0.683333333333,
TestSet19iso,0.9375,0.841666666667,0.725,
TestSet20iso,0.96875,0.808333333333,0.7,
TestSet21iso,0.947916666667,0.775,0.75,
TestSet22iso,0.987654320988,0.904761904762,0.780952380952,
TestSet23iso,0.90625,0.708333333333,0.6,
TestSet24iso,0.895833333333,0.85,0.758333333333,
TestSet25iso,0.885416666667,0.816666666667,0.675,
TestSet1copy,0.872340425532,0.913043478261,0.851063829787,
TestSet2copy,0.9375,0.958333333333,0.75,
TestSet3copy,0.914893617021,0.95652173913,0.744680851064,
TestSet4copy,0.914893617021,0.869565217391,0.829787234043,
TestSet5copy,0.844444444444,0.952380952381,0.666666666667,
TestSet6copy,0.936170212766,0.869565217391,0.936170212766,
TestSet7copy,0.916666666667,0.958333333333,0.9375,
TestSet8copy,0.891304347826,1.0,0.652173913043,
TestSet9copy,0.854166666667,0.958333333333,0.875,
TestSet10copy,0.913043478261,0.909090909091,0.869565217391,
TestSet11copy,0.8125,0.916666666667,0.833333333333,
TestSet12copy,0.875,1.0,0.770833333333,
TestSet13copy,0.936170212766,0.913043478261,0.723404255319,
TestSet14copy,0.883720930233,0.904761904762,0.744186046512,
TestSet15copy,0.893617021277,1.0,0.808510638298,
TestSet16copy,0.916666666667,0.916666666667,0.895833333333,
TestSet17copy,0.952380952381,0.9,0.666666666667,
TestSet18copy,0.837209302326,0.952380952381,0.767441860465,
TestSet19copy,0.893617021277,0.95652173913,0.68085106383,
TestSet20copy,0.936170212766,0.95652173913,0.702127659574,
TestSet21copy,0.934782608696,0.909090909091,0.739130434783,
TestSet22copy,0.895833333333,0.875,0.791666666667,
TestSet23copy,0.953488372093,0.952380952381,0.674418604651,
TestSet24copy,0.833333333333,0.958333333333,0.875,
TestSet25copy,0.729166666667,0.958333333333,0.729166666667,
TestSet1synth,0.826086956522,0.869565217391,1.0,
TestSet2synth,0.897435897436,0.74358974359,0.75,
TestSet3synth,0.775,0.7,0.85,
TestSet4synth,0.882352941176,0.823529411765,0.964285714286,
TestSet5synth,0.8,0.644444444444,0.739130434783,
TestSet6synth,0.836734693878,0.857142857143,0.92,
TestSet7synth,0.925,0.875,0.941176470588,
TestSet8synth,0.785714285714,0.595238095238,0.636363636364,
TestSet9synth,0.777777777778,0.866666666667,0.818181818182,
TestSet10synth,0.826086956522,0.760869565217,0.772727272727,
TestSet11synth,0.857142857143,0.795918367347,0.962962962963,
TestSet12synth,0.772727272727,0.795454545455,0.95652173913,
TestSet13synth,0.75,0.75,0.7,
TestSet14synth,0.820512820513,0.820512820513,0.578947368421,
TestSet15synth,0.866666666667,0.733333333333,0.826086956522,
TestSet16synth,0.860465116279,0.953488372093,1.0,
TestSet17synth,0.787878787879,0.818181818182,0.733333333333,
TestSet18synth,0.7,0.75,0.8,
TestSet19synth,0.916666666667,0.888888888889,0.941176470588,
TestSet20synth,0.90243902439,0.756097560976,0.9,
TestSet21synth,0.790697674419,0.697674418605,0.904761904762,
TestSet22synth,0.90243902439,0.853658536585,0.8,
TestSet23synth,0.857142857143,0.714285714286,0.705882352941,
TestSet24synth,0.833333333333,0.785714285714,0.95,
TestSet25synth,0.710526315789,0.763157894737,0.789473684211,
