set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.75,0.461538461538,0.0,,0.789473684211,0.714285714286,0.574468085106
Run2,0.75,0.75,0.0,0.0,0.894736842105,0.566666666667,0.617021276596
Run3,0.4375,0.538461538462,0.0,,1.0,0.529411764706,0.531914893617
Run4,0.5,0.8,0.0,0.0,0.85,0.472222222222,0.531914893617
Run5,0.5625,0.6,0.0,,1.0,0.566666666667,0.577777777778
Run6,0.5,0.8,0.0,0.0,0.95,0.542857142857,0.5625
Run7,0.1875,1.0,0.0,0.0,1.0,0.452380952381,0.478260869565
Run8,0.5,0.533333333333,0.0,0.0,0.947368421053,0.6,0.553191489362
Run9,0.625,0.769230769231,0.0833333333333,0.5,1.0,0.59375,0.63829787234
Run10,0.625,0.625,0.0833333333333,0.333333333333,0.888888888889,0.592592592593,0.586956521739
Run11,0.125,0.666666666667,0.0833333333333,0.333333333333,1.0,0.47619047619,0.479166666667
Run12,0.1875,0.6,0.0769230769231,0.5,0.947368421053,0.439024390244,0.458333333333
Run13,0.375,0.857142857143,0.0,,1.0,0.416666666667,0.488372093023
Run14,0.625,0.625,0.416666666667,0.384615384615,0.789473684211,0.833333333333,0.63829787234
Run15,0.3125,0.625,0.0,,1.0,0.5,0.521739130435
Run16,0.25,0.666666666667,0.333333333333,0.307692307692,0.75,0.51724137931,0.479166666667
Run17,0.125,0.666666666667,0.0909090909091,0.25,0.95,0.475,0.468085106383
Run18,0.5,0.666666666667,0.0,,1.0,0.558823529412,0.586956521739
Run19,0.4375,0.7,0.0,0.0,1.0,0.555555555556,0.5625
Run20,0.25,0.8,0.0,0.0,0.894736842105,0.414634146341,0.446808510638
Run21,0.375,0.545454545455,0.416666666667,0.357142857143,0.65,0.565217391304,0.5
Run22,0.4375,0.875,0.0,0.0,0.947368421053,0.486486486486,0.520833333333
Run23,0.25,0.8,0.0,,1.0,0.46511627907,0.5
Run24,0.375,0.857142857143,0.25,0.5,0.947368421053,0.529411764706,0.574468085106
Run25,0.5625,0.692307692308,0.25,0.5,1.0,0.666666666667,0.652173913043
