set,and precision, and recall, or precision, or recall, not precision, not recall, accuracy
Run1,0.7,0.571428571429,0.475,0.730769230769,0.675,0.6,0.616666666667
Run2,0.8,0.581818181818,0.4,0.592592592593,0.625,0.657894736842,0.608333333333
Run3,0.675,0.613636363636,0.225,0.3,0.5,0.434782608696,0.466666666667
Run4,0.725,0.5,0.375,0.555555555556,0.575,0.657142857143,0.558333333333
Run5,0.9,0.461538461538,0.0,0.0,0.5,0.645161290323,0.466666666667
Run6,0.65,0.666666666667,0.525,0.446808510638,0.425,0.5,0.533333333333
Run7,0.625,0.735294117647,0.075,0.75,0.925,0.451219512195,0.541666666667
Run8,0.375,0.789473684211,0.475,0.59375,0.875,0.507246376812,0.575
Run9,0.657142857143,0.657142857143,0.371428571429,0.481481481481,0.6,0.488372093023,0.542857142857
Run10,0.85,0.59649122807,0.325,0.619047619048,0.775,0.738095238095,0.65
Run11,0.5,0.909090909091,0.125,0.714285714286,1.0,0.43956043956,0.541666666667
Run12,0.375,0.882352941176,0.175,0.4375,0.825,0.379310344828,0.458333333333
Run13,0.775,0.645833333333,0.3,0.75,0.725,0.517857142857,0.6
Run14,0.514285714286,0.857142857143,0.428571428571,0.30612244898,0.4,0.4,0.447619047619
Run15,0.8,0.627450980392,0.0,0.0,0.825,0.507692307692,0.541666666667
Run16,0.325,0.928571428571,0.6,0.421052631579,0.65,0.530612244898,0.525
Run17,0.7,0.622222222222,0.2,0.571428571429,0.925,0.606557377049,0.608333333333
Run18,0.8,0.551724137931,0.35,0.538461538462,0.55,0.611111111111,0.566666666667
Run19,0.428571428571,0.833333333333,0.0285714285714,0.5,1.0,0.411764705882,0.485714285714
Run20,0.675,0.613636363636,0.075,0.333333333333,0.85,0.507462686567,0.533333333333
Run21,0.1,1.0,0.35,0.245614035088,0.6,0.406779661017,0.35
Run22,0.514285714286,0.666666666667,0.228571428571,0.275862068966,0.457142857143,0.326530612245,0.4
Run23,0.55,0.733333333333,0.15,0.6,0.95,0.475,0.55
Run24,0.325,0.8125,0.575,0.511111111111,0.825,0.559322033898,0.575
Run25,0.425,0.586206896552,0.0,0.0,0.925,0.420454545455,0.45
