Test Set,Iso Train,Copy Train,Synth Train,,Test Set,Iso Train,Copy Train,Synth Train,,Test Set,Iso Train,Copy Train,Synth Train
Run1-iso,0.9453125,0.9375,0.777083333,,Run1-copy,0.905263158,0.936170213,0.747368421,,Run1-synth,0.817142857,0.885714286,0.93258427
Run2-iso,0.943089431,0.91827957,0.713978495,,Run2-copy,0.90052356,0.968421053,0.722513089,,Run2-synth,0.829545455,0.846590909,0.901098901
Run3-iso,0.951219512,0.883870968,0.810752688,,Run3-copy,0.881081081,0.923076923,0.810810811,,Run3-synth,0.810055866,0.826815642,0.802197802
Run4-iso,0.948509485,0.896774194,0.772043011,,Run4-copy,0.918478261,0.955555556,0.733695652,,Run4-synth,0.83625731,0.789473684,0.858823529
Run5-iso,0.929539295,0.890322581,0.774193548,,Run5-copy,0.884816754,0.915789474,0.753926702,,Run5-synth,0.82183908,0.862068966,0.909090909
Run6-iso,0.940379404,0.903225806,0.750537634,,Run6-copy,0.913978495,0.945652174,0.741935484,,Run6-synth,0.837349398,0.855421687,0.928571429
Run7-iso,0.953125,0.904166667,0.804166667,,Run7-copy,0.907103825,0.943820225,0.781420765,,Run7-synth,0.805882353,0.817647059,0.926829268
Run8-iso,0.947916667,0.904166667,0.802083333,,Run8-copy,0.883597884,0.935483871,0.777777778,,Run8-synth,0.820809249,0.826589595,0.880952381
Run9-iso,0.943089431,0.892473118,0.772043011,,Run9-copy,0.930107527,0.923913043,0.784946237,,Run9-synth,0.827586207,0.867816092,0.933333333
Run10-iso,0.93495935,0.883870968,0.746236559,,Run10-copy,0.864130435,0.933333333,0.766304348,,Run10-synth,0.814606742,0.814606742,0.934782609
Run11-iso,0.956639566,0.937634409,0.782795699,,Run11-copy,0.888888889,0.935483871,0.772486772,,Run11-synth,0.848314607,0.893258427,0.967032967
Run12-iso,0.953125,0.89375,0.720833333,,Run12-copy,0.85326087,0.966666667,0.717391304,,Run12-synth,0.818181818,0.854545455,0.913580247
Run13-iso,0.956639566,0.903225806,0.784946237,,Run13-copy,0.886486486,0.978021978,0.789189189,,Run13-synth,0.83030303,0.896969697,0.9375
Run14-iso,0.964769648,0.905376344,0.772043011,,Run14-copy,0.921052632,0.989361702,0.757894737,,Run14-synth,0.837837838,0.87027027,0.90625
Run15-iso,0.924479167,0.864583333,0.758333333,,Run15-copy,0.847826087,0.922222222,0.717391304,,Run15-synth,0.757225434,0.76300578,0.882352941
Run16-iso,0.947916667,0.9125,0.741666667,,Run16-copy,0.918478261,0.966666667,0.755434783,,Run16-synth,0.816568047,0.792899408,0.939759036
Run17-iso,0.90625,0.90625,0.754166667,,Run17-copy,0.894179894,0.946236559,0.756613757,,Run17-synth,0.808139535,0.813953488,0.857142857
Run18-iso,0.951219512,0.913978495,0.759139785,,Run18-copy,0.869565217,0.955555556,0.744565217,,Run18-synth,0.830409357,0.859649123,0.852272727
Run19-iso,0.950520833,0.889583333,0.785416667,,Run19-copy,0.891304348,0.9,0.75,,Run19-synth,0.838323353,0.868263473,0.915662651
Run20-iso,0.951219512,0.88172043,0.793548387,,Run20-copy,0.875675676,0.912087912,0.789189189,,Run20-synth,0.867052023,0.855491329,0.885057471
Run21-iso,0.942708333,0.89375,0.79375,,Run21-copy,0.89673913,0.955555556,0.77173913,,Run21-synth,0.84939759,0.843373494,0.925925926
Run22-iso,0.948509485,0.886021505,0.819354839,,Run22-copy,0.888297872,0.934782609,0.803191489,,Run22-synth,0.858695652,0.864130435,0.934782609
Run23-iso,0.959349593,0.883870968,0.746236559,,Run23-copy,0.935483871,0.956521739,0.758064516,,Run23-synth,0.813559322,0.875706215,0.879120879
Run24-iso,0.945799458,0.903225806,0.772043011,,Run24-copy,0.897297297,0.934065934,0.751351351,,Run24-synth,0.821428571,0.81547619,0.926829268
Run25-iso,0.953125,0.922916667,0.779166667,,Run25-copy,0.91005291,0.967741935,0.761904762,,Run25-synth,0.853932584,0.848314607,0.934065934
