Test Set,Iso Train,Copy Train,Synth Train,,Test Set,Iso Train,Copy Train,Synth Train,,Test Set,Iso Train,Copy Train,Synth Train
Run1-iso,0.820833333,0.816666667,0.764583333,,Run1-copy,0.921052632,0.863157895,0.831578947,,Run1-synth,0.817142857,0.84,0.805714286
Run2-iso,0.823655914,0.883870968,0.834408602,,Run2-copy,0.806282723,0.890052356,0.905759162,,Run2-synth,0.767045455,0.835227273,0.846590909
Run3-iso,0.823655914,0.729032258,0.862365591,,Run3-copy,0.886486486,0.816216216,0.924324324,,Run3-synth,0.815642458,0.675977654,0.87150838
Run4-iso,0.83655914,0.711827957,0.802150538,,Run4-copy,0.836956522,0.777173913,0.869565217,,Run4-synth,0.795321637,0.713450292,0.801169591
Run5-iso,0.791397849,0.748387097,0.761290323,,Run5-copy,0.816753927,0.785340314,0.816753927,,Run5-synth,0.775862069,0.793103448,0.844827586
Run6-iso,0.870967742,0.838709677,0.858064516,,Run6-copy,0.85483871,0.865591398,0.887096774,,Run6-synth,0.855421687,0.813253012,0.819277108
Run7-iso,0.775,0.84375,0.752083333,,Run7-copy,0.786885246,0.890710383,0.825136612,,Run7-synth,0.723529412,0.841176471,0.747058824
Run8-iso,0.779166667,0.854166667,0.877083333,,Run8-copy,0.788359788,0.894179894,0.904761905,,Run8-synth,0.768786127,0.861271676,0.861271676
Run9-iso,0.827956989,0.765591398,0.780645161,,Run9-copy,0.844086022,0.85483871,0.790322581,,Run9-synth,0.752873563,0.82183908,0.827586207
Run10-iso,0.83655914,0.795698925,0.817204301,,Run10-copy,0.89673913,0.847826087,0.880434783,,Run10-synth,0.764044944,0.719101124,0.831460674
Run11-iso,0.853763441,0.832258065,0.767741935,,Run11-copy,0.899470899,0.883597884,0.798941799,,Run11-synth,0.808988764,0.820224719,0.691011236
Run12-iso,0.8,0.866666667,0.84375,,Run12-copy,0.89673913,0.913043478,0.89673913,,Run12-synth,0.781818182,0.854545455,0.787878788
Run13-iso,0.87311828,0.806451613,0.847311828,,Run13-copy,0.908108108,0.859459459,0.848648649,,Run13-synth,0.842424242,0.8,0.83030303
Run14-iso,0.888172043,0.640860215,0.851612903,,Run14-copy,0.952631579,0.689473684,0.894736842,,Run14-synth,0.843243243,0.627027027,0.897297297
Run15-iso,0.889583333,0.891666667,0.852083333,,Run15-copy,0.907608696,0.907608696,0.875,,Run15-synth,0.861271676,0.867052023,0.797687861
Run16-iso,0.854166667,0.84375,0.85625,,Run16-copy,0.902173913,0.891304348,0.913043478,,Run16-synth,0.792899408,0.804733728,0.834319527
Run17-iso,0.785416667,0.870833333,0.839583333,,Run17-copy,0.788359788,0.873015873,0.862433862,,Run17-synth,0.860465116,0.854651163,0.88372093
Run18-iso,0.793548387,0.733333333,0.890322581,,Run18-copy,0.820652174,0.777173913,0.918478261,,Run18-synth,0.789473684,0.666666667,0.871345029
Run19-iso,0.852083333,0.8125,0.825,,Run19-copy,0.875,0.891304348,0.913043478,,Run19-synth,0.868263473,0.820359281,0.814371257
Run20-iso,0.87311828,0.840860215,0.789247312,,Run20-copy,0.891891892,0.864864865,0.821621622,,Run20-synth,0.855491329,0.838150289,0.843930636
Run21-iso,0.860416667,0.85625,0.770833333,,Run21-copy,0.891304348,0.875,0.804347826,,Run21-synth,0.861445783,0.819277108,0.698795181
Run22-iso,0.780645161,0.780645161,0.797849462,,Run22-copy,0.829787234,0.845744681,0.829787234,,Run22-synth,0.798913043,0.755434783,0.75
Run23-iso,0.88172043,0.868817204,0.849462366,,Run23-copy,0.903225806,0.951612903,0.908602151,,Run23-synth,0.802259887,0.836158192,0.858757062
Run24-iso,0.838709677,0.847311828,0.804301075,,Run24-copy,0.918918919,0.886486486,0.854054054,,Run24-synth,0.821428571,0.845238095,0.821428571
Run25-iso,0.854166667,0.764583333,0.8375,,Run25-copy,0.931216931,0.830687831,0.883597884,,Run25-synth,0.859550562,0.735955056,0.837078652
